,targetname,datetime_str,datetime_jd,M1,solar_presence,k1,flags,RA,DEC,RA_app,DEC_app,RA_rate,DEC_rate,AZ,EL,AZ_rate,EL_rate,sat_X,sat_Y,sat_PANG,siderealtime,airmass,magextinct,Tmag,Nmag,illumination,illum_defect,sat_sep,sat_vis,ang_width,PDObsLon,PDObsLat,PDSunLon,PDSunLat,SubSol_ang,SubSol_dist,NPole_ang,NPole_dist,EclLon,EclLat,r,r_rate,delta,delta_rate,lighttime,vel_sun,vel_obs,elong,elongFlag,alpha,lunar_elong,lunar_illum,sat_alpha,sunTargetPA,velocityPA,OrbPlaneAng,constellation,TDB-UT,ObsEclLon,ObsEclLat,NPole_RA,NPole_DEC,GlxLon,GlxLat,solartime,earth_lighttime,RA_3sigma,DEC_3sigma,SMAA_3sigma,SMIA_3sigma,Theta_3sigma,Area_3sigma,RSS_3sigma,r_3sigma,r_rate_3sigma,SBand_3sigma,XBand_3sigma,DoppDelay_3sigma,true_anom,hour_angle,alpha_true,PABLon,PABLat
0,Garradd (C/2009 P1),2012-Mar-01 12:00,2455988.0,8.8,*,4.5,m,229.6179,66.36976,229.66011,66.31977,-155.906,115.9661,7.956692,21.877605,353.43,91.41,-403818.98,265118.731,337.416,4.5541996447,2.663,0.382,10.482,,92.52323,,381035.8,*,,,,,,71.51,0.0,,,161.3666,42.4139,1.812064035278,11.8942367,1.27046598033479,-4.3068897,10.56614336,31.3003745,49.9197256,105.8433,/L,31.7376,89.8,54.4245,42.4138,251.632,91.928,-11.37886,UMi,66.185381,162.2191932,74.155557,,,103.197012,44.715303,17.7038761046,0.000354,0.091,0.086,0.093,0.085,-27.976,0.02462,0.125,164.8149,1.24e-05,0.38,1.4,0.0011,44.644,-10.756474321,31.7378,161.5445,58.2876
1,Garradd (C/2009 P1),2012-Mar-01 12:10,2455988.006944444,8.8,C,4.5,m,229.59991,66.37514,229.64214,66.32514,-155.973,115.9696,9.010736,22.147864,350.1,103.16,-403908.74,265128.487,337.425,4.7213226331,2.633,0.378,10.482,,92.52402,,381054.4,*,,,,,,71.48,0.0,,,161.3647,42.4105,1.812111742347,11.8950084,1.27044871101931,-4.3044885,10.56599974,31.2999627,49.9332152,105.8485,/L,31.7359,89.8,54.4675,42.4104,251.606,91.913,-11.38419,UMi,66.185381,162.1918653,74.1505358,,,103.209404,44.717139,17.8705662783,0.000354,0.091,0.086,0.093,0.085,-27.968,0.0246209,0.125,164.8118,1.24e-05,0.38,1.4,0.0011,44.6477,-10.588153106,31.736,161.5358,58.2833
2,Garradd (C/2009 P1),2012-Mar-01 12:20,2455988.013888889,8.8,C,4.5,m,229.58192,66.38053,229.62415,66.3305,-156.043,115.9722,10.056349,22.450591,346.39,114.78,-403998.56,265138.243,337.434,4.8884456216,2.6,0.373,10.482,,92.52482,,381073.0,*,,,,,,71.46,0.0,,,161.3628,42.4071,1.81215945251,11.89578,1.27043145152906,-4.3019886,10.5658562,31.2995509,49.9470454,105.8536,/L,31.7342,89.8,54.5104,42.407,251.58,91.897,-11.38952,UMi,66.185381,162.1645447,74.1455104,,,103.221799,44.718973,18.0372562344,0.000354,0.091,0.086,0.093,0.085,-27.96,0.0246219,0.125,164.8088,1.24e-05,0.38,1.4,0.001099,44.6513,-10.419831124,31.7343,161.5271,58.2791
3,Garradd (C/2009 P1),2012-Mar-01 12:30,2455988.020833333,8.8,N,4.5,m,229.56391,66.38591,229.60615,66.33587,-156.116,115.9738,11.092609,22.785406,342.29,126.26,-404088.43,265148.0,337.443,5.05556861,2.564,0.368,10.482,,92.52561,,381091.6,*,,,,,,71.43,0.0,,,161.361,42.4037,1.812207165767,11.8965516,1.27041420228113,-4.2993795,10.56571274,31.2991391,49.961193,105.8588,/L,31.7324,89.8,54.5532,42.4036,251.554,91.882,-11.39485,UMi,66.185382,162.1372313,74.1404809,,,103.2342,44.720805,18.2039459723,0.000354,0.091,0.086,0.093,0.085,-27.952,0.0246228,0.125,164.8057,1.24e-05,0.38,1.4,0.001099,44.655,-10.251508358,31.7326,161.5184,58.2749
4,Garradd (C/2009 P1),2012-Mar-01 12:40,2455988.027777778,8.8,N,4.5,m,229.54589,66.3913,229.58815,66.34124,-156.19,115.9744,12.118604,23.151893,337.81,137.58,-404178.35,265157.756,337.452,5.2226915985,2.526,0.362,10.482,,92.52641,,381110.2,*,,,,,,71.4,0.0,,,161.3591,42.4003,1.812254882118,11.897323,1.27039696373439,-4.2966508,10.56556937,31.2987273,49.9756337,105.8639,/L,31.7307,89.7,54.596,42.4002,251.529,91.866,-11.40019,UMi,66.185382,162.1099252,74.135447,,,103.246605,44.722636,18.370635492,0.000354,0.091,0.086,0.093,0.085,-27.943,0.0246238,0.125,164.8026,1.24e-05,0.38,1.4,0.001099,44.6587,-10.083184789,31.7308,161.5097,58.2706
5,Garradd (C/2009 P1),2012-Mar-01 12:50,2455988.034722222,8.8,N,4.5,m,229.52786,66.39668,229.57012,66.34661,-156.267,115.9738,13.133431,23.549604,332.97,148.74,-404268.34,265167.513,337.46,5.389814587,2.487,0.357,10.482,,92.52721,,381128.7,*,,,,,,71.38,0.0,,,161.3572,42.3969,1.812302601563,11.8980944,1.27037973638854,-4.2937926,10.5654261,31.2983154,49.9903429,105.8691,/L,31.729,89.7,54.6387,42.3968,251.503,91.851,-11.40553,UMi,66.185382,162.0826263,74.1304086,,,103.259015,44.724465,18.5373247938,0.000354,0.091,0.086,0.093,0.085,-27.935,0.0246248,0.125,164.7995,1.24e-05,0.39,1.4,0.001099,44.6623,-9.914860399,31.7291,161.501,58.2664
6,Garradd (C/2009 P1),2012-Mar-01 13:00,2455988.041666667,8.8,A,4.5,m,229.50981,66.40207,229.55209,66.35197,-156.346,115.9719,14.136196,23.978053,327.76,159.71,-404358.38,265177.27,337.469,5.5569375755,2.446,0.351,10.482,,92.528,,381147.3,*,,,,,,71.35,0.0,,,161.3553,42.3935,1.812350324101,11.8988656,1.27036252078322,-4.2907949,10.56528292,31.2979036,50.0052955,105.8743,/L,31.7272,89.7,54.6816,42.3934,251.477,91.835,-11.41087,UMi,66.185382,162.0553347,74.1253657,,,103.27143,44.726293,18.7040138787,0.000354,0.091,0.086,0.093,0.085,-27.927,0.0246257,0.125,164.7965,1.24e-05,0.39,1.4,0.001099,44.666,-9.74653517,31.7274,161.4922,58.2621
7,Garradd (C/2009 P1),2012-Mar-01 13:10,2455988.048611111,8.8,A,4.5,m,229.49176,66.40745,229.53404,66.35734,-156.427,115.9687,15.126016,24.436726,322.2,170.5,-404448.47,265187.026,337.478,5.7240605639,2.403,0.345,10.482,,92.5288,,381165.9,*,,,,,,71.33,0.0,,,161.3535,42.3901,1.812398049731,11.8996368,1.27034531749685,-4.2876482,10.56513984,31.2974917,50.0204658,105.8794,/L,31.7255,89.7,54.7245,42.39,251.451,91.82,-11.41621,UMi,66.185382,162.0280506,74.1203181,,,103.283849,44.728121,18.8707027477,0.000354,0.091,0.086,0.093,0.085,-27.919,0.0246267,0.125,164.7934,1.24e-05,0.39,1.4,0.001099,44.6697,-9.578209086,31.7256,161.4835,58.2579
8,Garradd (C/2009 P1),2012-Mar-01 13:20,2455988.055555556,8.8,A,4.5,m,229.47369,66.41284,229.51599,66.36271,-156.51,115.9641,16.102016,24.925075,316.28,181.08,-404538.63,265196.782,337.487,5.8911835524,2.359,0.338,10.482,,92.5296,,381184.5,*,,,,,,71.3,0.0,,,161.3516,42.3867,1.812445778454,11.9004079,1.27032812714559,-4.2843433,10.56499687,31.2970799,50.035828,105.8846,/L,31.7238,89.7,54.7676,42.3866,251.425,91.804,-11.42155,UMi,66.185382,162.0007739,74.1152656,,,103.296274,44.729946,19.0373914026,0.000354,0.091,0.086,0.093,0.085,-27.911,0.0246276,0.125,164.7903,1.24e-05,0.39,1.4,0.001099,44.6733,-9.409882129,31.7239,161.4748,58.2536
9,Garradd (C/2009 P1),2012-Mar-01 13:30,2455988.0625,8.8,A,4.5,m,229.4556,66.41822,229.49791,66.36807,-156.595,115.958,17.063327,25.442526,310.03,191.45,-404628.84,265206.538,337.496,6.058306541,2.315,0.332,10.482,,92.53039,,381203.1,*,,,,,,71.27,0.0,,,161.3497,42.3833,1.812493510269,11.9011789,1.2703109503821,-4.2808713,10.56485402,31.296668,50.0513556,105.8897,/L,31.722,89.7,54.8109,42.3833,251.399,91.789,-11.4269,UMi,66.185382,161.9735048,74.1102083,,,103.308703,44.731772,19.2040798456,0.000354,0.091,0.086,0.093,0.085,-27.902,0.0246286,0.125,164.7872,1.24e-05,0.39,1.4,0.001099,44.677,-9.241554282,31.7222,161.4661,58.2494
